initial,t,line,type,D,hittlimit
1,[0.1],[1],dynamic,1.0,false
1,[0.1],[1],static,1.0,false
2,[0.1],[2],dynamic,1.0,false
2,[0.1],[2],static,1.0,false
3,[0.1],[3],dynamic,1.0,false
3,[0.1],[3],static,1.0,false
4,[0.1],[4],dynamic,1.0,false
4,[0.1],[4],static,1.0,false
5,[0.1],[5],dynamic,1.0,false
5,[0.1],[5],static,1.0,false
6,[0.1],[6],dynamic,1.0,false
6,[0.1],[6],static,1.0,false
7,[0.1],[7],dynamic,1.0,false
7,[0.1],[7],static,1.0,false
8,[0.1],[8],dynamic,1.0,false
8,[0.1],[8],static,1.0,false
9,[0.1],[9],dynamic,1.0,false
9,[0.1],[9],static,1.0,false
10,[0.1],[10],dynamic,1.0,false
10,[0.1],[10],static,1.0,false
11,"[0.1, 0.7982625339055557]","[11, 12]",dynamic,1.0,false
11,"[0.1, 7.351652584643475]","[11, 12]",static,1.0,false
12,"[0.1, 0.3637494229225464]","[12, 11]",dynamic,1.0,false
12,"[0.1, 5.710059517366221]","[12, 11]",static,1.0,false
13,[0.1],[13],dynamic,1.0,false
13,[0.1],[13],static,1.0,false
14,[0.1],[14],dynamic,1.0,false
14,[0.1],[14],static,1.0,false
15,[0.1],[15],dynamic,1.0,false
15,[0.1],[15],static,1.0,false
16,[0.1],[16],dynamic,1.0,false
16,[0.1],[16],static,1.0,false
17,[0.1],[17],dynamic,1.0,false
17,[0.1],[17],static,1.0,false
18,[0.1],[18],dynamic,1.0,false
18,[0.1],[18],static,1.0,false
19,[0.1],[19],dynamic,1.0,false
19,[0.1],[19],static,1.0,false
20,[0.1],[20],dynamic,1.0,false
20,[0.1],[20],static,1.0,false
21,[0.1],[21],dynamic,1.0,false
21,[0.1],[21],static,1.0,false
22,[0.1],[22],dynamic,1.0,false
22,[0.1],[22],static,1.0,false
23,[0.1],[23],dynamic,1.0,false
23,[0.1],[23],static,1.0,false
24,[0.1],[24],dynamic,1.0,false
24,[0.1],[24],static,1.0,false
25,[0.1],[25],dynamic,1.0,false
25,[0.1],[25],static,1.0,false
26,[0.1],[26],dynamic,1.0,false
26,[0.1],[26],static,1.0,false
27,[0.1],[27],dynamic,1.0,false
27,[0.1],[27],static,1.0,false
28,[0.1],[28],dynamic,1.0,false
28,[0.1],[28],static,1.0,false
29,[0.1],[29],dynamic,1.0,false
29,[0.1],[29],static,1.0,false
30,[0.1],[30],dynamic,1.0,false
30,[0.1],[30],static,1.0,false
31,[0.1],[31],dynamic,1.0,false
31,[0.1],[31],static,1.0,false
32,[0.1],[32],dynamic,1.0,false
32,[0.1],[32],static,1.0,false
33,[0.1],[33],dynamic,1.0,false
33,[0.1],[33],static,1.0,false
34,[0.1],[34],dynamic,1.0,false
34,[0.1],[34],static,1.0,false
35,[0.1],[35],dynamic,1.0,false
35,[0.1],[35],static,1.0,false
36,[0.1],[36],dynamic,1.0,false
36,[0.1],[36],static,1.0,false
37,[0.1],[37],dynamic,1.0,false
37,[0.1],[37],static,1.0,false
38,[0.1],[38],dynamic,1.0,false
38,[0.1],[38],static,1.0,false
39,[0.1],[39],dynamic,1.0,false
39,[0.1],[39],static,1.0,false
40,[0.1],[40],dynamic,1.0,false
40,[0.1],[40],static,1.0,false
41,[0.1],[41],dynamic,1.0,false
41,[0.1],[41],static,1.0,false
42,[0.1],[42],dynamic,1.0,false
42,[0.1],[42],static,1.0,false
43,[0.1],[43],dynamic,1.0,false
43,[0.1],[43],static,1.0,false
44,[0.1],[44],dynamic,1.0,false
44,[0.1],[44],static,1.0,false
45,[0.1],[45],dynamic,1.0,false
45,[0.1],[45],static,1.0,false
46,[0.1],[46],dynamic,1.0,false
46,[0.1],[46],static,1.0,false
47,[0.1],[47],dynamic,1.0,false
47,[0.1],[47],static,1.0,false
48,[0.1],[48],dynamic,1.0,false
48,[0.1],[48],static,1.0,false
49,[0.1],[49],dynamic,1.0,false
49,[0.1],[49],static,1.0,false
50,[0.1],[50],dynamic,1.0,false
50,[0.1],[50],static,1.0,false
51,[0.1],[51],dynamic,1.0,false
51,[0.1],[51],static,1.0,false
52,[0.1],[52],dynamic,1.0,false
52,[0.1],[52],static,1.0,false
53,[0.1],[53],dynamic,1.0,false
53,[0.1],[53],static,1.0,false
54,[0.1],[54],dynamic,1.0,false
54,[0.1],[54],static,1.0,false
55,[0.1],[55],dynamic,1.0,false
55,[0.1],[55],static,1.0,false
56,[0.1],[56],dynamic,1.0,false
56,[0.1],[56],static,1.0,false
57,[0.1],[57],dynamic,1.0,false
57,[0.1],[57],static,1.0,false
58,[0.1],[58],dynamic,1.0,false
58,[0.1],[58],static,1.0,false
59,[0.1],[59],dynamic,1.0,false
59,[0.1],[59],static,1.0,false
60,[0.1],[60],dynamic,1.0,false
60,[0.1],[60],static,1.0,false
61,[0.1],[61],dynamic,1.0,false
61,[0.1],[61],static,1.0,false
62,[0.1],[62],dynamic,1.0,false
62,[0.1],[62],static,1.0,false
63,[0.1],[63],dynamic,1.0,false
63,[0.1],[63],static,1.0,false
64,[0.1],[64],dynamic,1.0,false
64,[0.1],[64],static,1.0,false
65,[0.1],[65],dynamic,1.0,false
65,[0.1],[65],static,1.0,false
66,[0.1],[66],dynamic,1.0,false
66,[0.1],[66],static,1.0,false
67,[0.1],[67],dynamic,1.0,false
67,[0.1],[67],static,1.0,false
68,[0.1],[68],dynamic,1.0,false
68,[0.1],[68],static,1.0,false
69,[0.1],[69],dynamic,1.0,false
69,[0.1],[69],static,1.0,false
70,[0.1],[70],dynamic,1.0,false
70,[0.1],[70],static,1.0,false
71,[0.1],[71],dynamic,1.0,false
71,[0.1],[71],static,1.0,false
72,[0.1],[72],dynamic,1.0,false
72,[0.1],[72],static,1.0,false
73,[0.1],[73],dynamic,1.0,false
73,[0.1],[73],static,1.0,false
74,[0.1],[74],dynamic,1.0,false
74,[0.1],[74],static,1.0,false
75,[0.1],[75],dynamic,1.0,false
75,[0.1],[75],static,1.0,false
76,[0.1],[76],dynamic,1.0,false
76,[0.1],[76],static,1.0,false
77,[0.1],[77],dynamic,1.0,false
77,[0.1],[77],static,1.0,false
78,[0.1],[78],dynamic,1.0,false
78,[0.1],[78],static,1.0,false
79,[0.1],[79],dynamic,1.0,false
79,[0.1],[79],static,1.0,false
80,[0.1],[80],dynamic,1.0,false
80,[0.1],[80],static,1.0,false
81,[0.1],[81],dynamic,1.0,false
81,[0.1],[81],static,1.0,false
82,[0.1],[82],dynamic,1.0,false
82,[0.1],[82],static,1.0,false
83,[0.1],[83],dynamic,1.0,false
83,[0.1],[83],static,1.0,false
84,[0.1],[84],dynamic,1.0,false
84,[0.1],[84],static,1.0,false
85,[0.1],[85],dynamic,1.0,false
85,[0.1],[85],static,1.0,false
86,[0.1],[86],dynamic,1.0,false
86,[0.1],[86],static,1.0,false
87,[0.1],[87],dynamic,1.0,false
87,[0.1],[87],static,1.0,false
88,[0.1],[88],dynamic,1.0,false
88,[0.1],[88],static,1.0,false
89,[0.1],[89],dynamic,1.0,false
89,[0.1],[89],static,1.0,false
90,[0.1],[90],dynamic,1.0,false
90,[0.1],[90],static,1.0,false
91,[0.1],[91],dynamic,1.0,false
91,[0.1],[91],static,1.0,false
92,[0.1],[92],dynamic,1.0,false
92,[0.1],[92],static,1.0,false
93,[0.1],[93],dynamic,1.0,false
93,[0.1],[93],static,1.0,false
94,[0.1],[94],dynamic,1.0,false
94,[0.1],[94],static,1.0,false
95,[0.1],[95],dynamic,1.0,false
95,[0.1],[95],static,1.0,false
96,[0.1],[96],dynamic,1.0,false
96,[0.1],[96],static,1.0,false
97,[0.1],[97],dynamic,1.0,false
97,[0.1],[97],static,1.0,false
98,"[0.1, 0.2568563855424329, 1.2087853212758972, 1.8877404462287748, 2.482453304485412, 2.483142990588486, 2.4835427626150035, 2.499535773976638]","[98, 100, 11, 71, 56, 59, 12, 60]",dynamic,1.0,false
98,"[0.1, 6.8767026890893606, 27.659148602405885, 27.659148602405885, 27.659148602405885, 27.659148602405885, 27.659148602405885, 38.27913525701091]","[98, 100, 11, 37, 71, 73, 106, 12]",static,1.0,false
99,[0.1],[99],dynamic,1.0,false
99,[0.1],[99],static,1.0,false
100,"[0.1, 0.6225828836589604, 1.534093999653241, 2.2172125608692603, 2.8115704485615405, 2.812262069700683, 2.812658608934046, 2.828680974059057]","[100, 98, 11, 71, 56, 59, 12, 60]",dynamic,1.0,false
100,"[0.1, 8.6876227076642, 30.272882991450636, 30.272882991450636, 30.272882991450636, 30.272882991450636, 30.272882991450636, 40.902328376006395]","[100, 98, 11, 37, 71, 73, 106, 12]",static,1.0,false
101,[0.1],[101],dynamic,1.0,false
101,[0.1],[101],static,1.0,false
102,[0.1],[102],dynamic,1.0,false
102,[0.1],[102],static,1.0,false
103,[0.1],[103],dynamic,1.0,false
103,[0.1],[103],static,1.0,false
104,[0.1],[104],dynamic,1.0,false
104,[0.1],[104],static,1.0,false
105,[0.1],[105],dynamic,1.0,false
105,[0.1],[105],static,1.0,false
106,[0.1],[106],dynamic,1.0,false
106,[0.1],[106],static,1.0,false
107,[0.1],[107],dynamic,1.0,false
107,[0.1],[107],static,1.0,false
108,[0.1],[108],dynamic,1.0,false
108,[0.1],[108],static,1.0,false
