initial,t,line,type,D,hittlimit
1,[0.1],[1],dynamic,0.3,false
1,[0.1],[1],static,0.3,false
2,[0.1],[2],dynamic,0.3,false
2,[0.1],[2],static,0.3,false
3,[0.1],[3],dynamic,0.3,false
3,[0.1],[3],static,0.3,false
4,[0.1],[4],dynamic,0.3,false
4,[0.1],[4],static,0.3,false
5,[0.1],[5],dynamic,0.3,false
5,[0.1],[5],static,0.3,false
6,[0.1],[6],dynamic,0.3,false
6,[0.1],[6],static,0.3,false
7,[0.1],[7],dynamic,0.3,false
7,[0.1],[7],static,0.3,false
8,[0.1],[8],dynamic,0.3,false
8,[0.1],[8],static,0.3,false
9,[0.1],[9],dynamic,0.3,false
9,[0.1],[9],static,0.3,false
10,[0.1],[10],dynamic,0.3,false
10,[0.1],[10],static,0.3,false
11,"[0.1, 0.2404820235783952]","[11, 12]",dynamic,0.3,false
11,"[0.1, 3.6201483351558004]","[11, 12]",static,0.3,false
12,"[0.1, 0.17693994624853476]","[12, 11]",dynamic,0.3,false
12,"[0.1, 3.119269497682685]","[12, 11]",static,0.3,false
13,[0.1],[13],dynamic,0.3,false
13,[0.1],[13],static,0.3,false
14,[0.1],[14],dynamic,0.3,false
14,[0.1],[14],static,0.3,false
15,[0.1],[15],dynamic,0.3,false
15,[0.1],[15],static,0.3,false
16,[0.1],[16],dynamic,0.3,false
16,[0.1],[16],static,0.3,false
17,[0.1],[17],dynamic,0.3,false
17,[0.1],[17],static,0.3,false
18,[0.1],[18],dynamic,0.3,false
18,[0.1],[18],static,0.3,false
19,[0.1],[19],dynamic,0.3,false
19,[0.1],[19],static,0.3,false
20,[0.1],[20],dynamic,0.3,false
20,[0.1],[20],static,0.3,false
21,[0.1],[21],dynamic,0.3,false
21,[0.1],[21],static,0.3,false
22,[0.1],[22],dynamic,0.3,false
22,[0.1],[22],static,0.3,false
23,[0.1],[23],dynamic,0.3,false
23,[0.1],[23],static,0.3,false
24,[0.1],[24],dynamic,0.3,false
24,[0.1],[24],static,0.3,false
25,[0.1],[25],dynamic,0.3,false
25,[0.1],[25],static,0.3,false
26,[0.1],[26],dynamic,0.3,false
26,[0.1],[26],static,0.3,false
27,[0.1],[27],dynamic,0.3,false
27,[0.1],[27],static,0.3,false
28,[0.1],[28],dynamic,0.3,false
28,[0.1],[28],static,0.3,false
29,[0.1],[29],dynamic,0.3,false
29,[0.1],[29],static,0.3,false
30,[0.1],[30],dynamic,0.3,false
30,[0.1],[30],static,0.3,false
31,[0.1],[31],dynamic,0.3,false
31,[0.1],[31],static,0.3,false
32,[0.1],[32],dynamic,0.3,false
32,[0.1],[32],static,0.3,false
33,[0.1],[33],dynamic,0.3,false
33,[0.1],[33],static,0.3,false
34,[0.1],[34],dynamic,0.3,false
34,[0.1],[34],static,0.3,false
35,[0.1],[35],dynamic,0.3,false
35,[0.1],[35],static,0.3,false
36,[0.1],[36],dynamic,0.3,false
36,[0.1],[36],static,0.3,false
37,[0.1],[37],dynamic,0.3,false
37,[0.1],[37],static,0.3,false
38,[0.1],[38],dynamic,0.3,false
38,[0.1],[38],static,0.3,false
39,[0.1],[39],dynamic,0.3,false
39,[0.1],[39],static,0.3,false
40,[0.1],[40],dynamic,0.3,false
40,[0.1],[40],static,0.3,false
41,[0.1],[41],dynamic,0.3,false
41,[0.1],[41],static,0.3,false
42,[0.1],[42],dynamic,0.3,false
42,[0.1],[42],static,0.3,false
43,[0.1],[43],dynamic,0.3,false
43,[0.1],[43],static,0.3,false
44,[0.1],[44],dynamic,0.3,false
44,[0.1],[44],static,0.3,false
45,[0.1],[45],dynamic,0.3,false
45,[0.1],[45],static,0.3,false
46,[0.1],[46],dynamic,0.3,false
46,[0.1],[46],static,0.3,false
47,[0.1],[47],dynamic,0.3,false
47,[0.1],[47],static,0.3,false
48,[0.1],[48],dynamic,0.3,false
48,[0.1],[48],static,0.3,false
49,[0.1],[49],dynamic,0.3,false
49,[0.1],[49],static,0.3,false
50,[0.1],[50],dynamic,0.3,false
